"","AD1","AD2","AD3","AH1","AH2","AH3","CD1","CD2","CD3","CH1","CH2","CH3","LD1","LD2","LD3","LH1","LH2","LH3","VD1","VD2","VD3","VH1","VH2","VH3"
"Papiliotrema.laurentii",0,0,1,0,0,14,0,38,0,4,0,0,0,4,1,0,7,3,2,0,53,0,26,0
"Paraconiothyrium.cyclothyrioides",0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraconiothyrium.fuckelii",17,0,35,0,37,23,60,314,0,30,0,32,17,62,120,12,19,66,40,0,269,0,312,0
"Paraglomus.laccatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Paraglomus.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
"Paraphaeosphaeria.michotii",0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraphaeosphaeria.neglecta",0,0,0,94,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,307,0,86
"Paraphaeosphaeria.sp",0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,62
"Paraphoma.chrysanthemicola",5,0,0,0,0,0,3,20,0,5,0,0,0,0,10,1,0,0,1,0,6,0,20,0
"Paraphoma.sp",4,0,28,0,60,19,12,68,0,19,0,11,27,50,3,12,3,30,10,0,50,0,32,0
"Parmelia.sp",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pascua.guehoae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Penicillago.nodositata",1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0
"Penicillium.adametzii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Penicillium.adametzioides",1,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,7,0,0,0,2,0,1,0
"Penicillium.anatolicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
"Penicillium.aurantiogriseum",0,0,1,0,10,0,5,0,0,0,0,0,0,3,0,6,0,3,0,0,20,0,10,0
"Penicillium.bialowiezense",0,0,0,0,0,7,2,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0
"Penicillium.bilaiae",0,0,0,0,0,4,0,10,0,1,0,0,0,0,0,0,3,9,0,0,0,0,4,0
"Penicillium.brasilianum",0,0,3,0,52,8,7,132,0,7,78,7,10,8,0,8,10,15,17,0,138,0,12,0
"Penicillium.brevicompactum",1,0,0,0,16,18,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,13,0
"Penicillium.camemberti",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillium.capsulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Penicillium.chrysogenum",4,0,3,0,2,20,10,28,0,18,0,0,5,18,47,0,0,8,0,121,48,0,32,0
"Penicillium.citrinum",3,0,0,0,0,0,0,44,0,0,80,6,5,4,0,0,7,0,0,0,0,0,2,0
"Penicillium.coralligerum",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillium.crystallinum",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillium.cyclopium",0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
"Penicillium.digitatum",0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillium.ellipsoideosporum",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Penicillium.expansum",3,0,0,0,0,0,2,3,0,0,0,9,0,0,10,0,3,7,1,0,56,0,15,0
"Penicillium.glabrum",5,0,36,0,16,2489,32,73,0,25,0,18,16,34,25,6,15,38,38,104,87,124,91,0
"Penicillium.griseofulvum",0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillium.herquei",0,0,0,298,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,297,0,340,0,114
"Penicillium.jugoslavicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Penicillium.levitum",0,0,3,76,0,0,6,34,6986,2,268,0,0,5,0,0,0,0,0,82,31,228,0,219
"Penicillium.lineatum",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Penicillium.madriti",0,0,0,0,25,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,8,0,10,0
"Penicillium.mariae.crucis",1,0,13,0,47,10,9,74,0,12,0,0,64,94,52,5,16,19,11,0,58,0,15,0
"Penicillium.melinii",0,309,0,83,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,186,0,82,0,50
"Penicillium.menonorum",2,0,7,0,110,0,4,55,0,6,0,6,1,9,57,1,1,8,19,0,12,0,37,0
"Penicillium.monsgalena",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillium.ochrochloron",0,0,0,0,57,0,0,1,0,3,0,6,1,0,0,0,3,4,0,0,23,0,12,0
"Penicillium.olsonii",0,0,3,0,1,0,5,0,0,12,0,4,3,0,25,1,3,0,0,0,0,0,24,0
"Penicillium.oxalicum",0,0,0,0,0,0,0,19,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Penicillium.pimiteouiense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"Penicillium.pinophilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"Penicillium.polonicum",2,297,4,0,12,4,5,43,0,0,0,3,1,11,2,4,4,2,3,0,7,0,14,0
"Penicillium.restrictum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0
"Penicillium.roseopurpureum",3,0,0,0,0,1,0,12,0,0,0,0,0,2,0,3,0,6,1,0,0,0,3,0
"Penicillium.simplicissimum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
"Penicillium.sizovae",0,0,2,0,31,2,0,22,0,4,0,0,0,0,0,14,0,12,2,0,14,0,20,0
"Penicillium.sp",0,0,0,0,0,0,5,34,0,0,117,0,0,0,0,0,0,0,0,0,0,0,4,77
